"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
ARCE 223,Mechanics of Materials,"Beer, Johnston, DeWolf, Mazurek",7th edition,https://archive.org/download/MechanicsOfMaterials7thEditionBeer./Mechanics_of_Materials_7th_edition_beer..pdf,
ARCE 223,Mechanics of Materials,"Beer, Johnston, DeWolf, Mazurek",6th Edition,http://site.iugaza.edu.ps/ajubeh/files/2012/05/B00k-Mechanics-of-Materials-Mcgraw-2012-Ed6-978-0-07-338028-5.pdf,9780073380285
ARCE 223,Statics and Mechanics of Materials,"Beer, Johnston, DeWolf, Mazurek",8th Edition,http://160592857366.free.fr/joe/ebooks/Mechanical%20Engineering%20Books%20Collection/STRENGTH%20OF%20MATERIALS/Statics%20and%20mechanics%20of%20Materials.pdf,
ARCE 302,Fundamentals of Structural Analysis,"Leet, K.M., Uang, C.M., Lanning J.T., Gilbert, A.M.",5,Fundamentals of Structural Analysis (5th Edition) Google Drive this link says it is a violation of Googles Terms of Service and i dont know why,
ARCE 302,,Leet,5,https://collegepdf.com/?download_file=9626&order=wc_order_ovjG1gWlwnHJK&uid=5dd369f3c6fc0d647cded26df0d9751b64fb9ebd4de5cdc011f951a4cda56af3&key=c288a379bcdc398603857b81b2dc53cd,
Arce 302,,,,https://www.dropbox.com/scl/fi/o12chfnsu4k1xsjepk4mi/Kenneth-M.-Leet-Chia-Ming-Uang-Joel-T.-Lanning-Anne-M.-Gilbert-Fundamentals-of-Structural-Analysis-2018-McGraw-Hill-Education.pdf?rlkey=d002kovfc5ork5l2kv2jcob3p&dl=0,
ARCE 360,Architectural Structures Visualizing Load Flow Geometrically,Edmond Saliklis,1,https://drive.google.com/open?id=13I-ZlaZqwMfvCMqM9S8iHuFAvyTbDpzn,9781032019000
ARCE 421,Soils and Foundations,Cheng Liu and Jack B. Evett,,https://drive.google.com/open?id=13ts1UP-kq46QVnDRsTsP6s1DukiZTDSu,
ARCH 217,A Global History of Architecture,"Ching, Prakash, & Jarzombek",3,https://drive.google.com/file/d/1sCxWcp1etD-Ad4KQfWD9NaNW5NWtSplJ/view?usp=share_link,9781118981337
ARCH 217,World Architecture,Ingersoll,2,https://drive.google.com/file/d/1Sjg4fvFg4Eu4v39AZDts4cRIlg4cQ3Qw/view?usp=sharing,
ARCH 217,,,,https://ebookcentral.proquest.com/lib/calpoly/detail.action?docID=698776,
Arch 217,A Global History of Architecture,"Ching, Francis",3,https://drive.google.com/open?id=1UgnbJC0Y05GNA5kJH0izaVIoEFLcoYQQ,9781118981337
ARCH 217,Global History of Architecture,Ching,2,https://drive.google.com/file/d/1Sjg4fvFg4Eu4v39AZDts4cRIlg4cQ3Qw/view?usp=sharing,
ARCH 218,World Architecture: A Cross-Cultural History,Richard Ingersoll,2,http://93.174.95.29/main/2308000/98d6596cfa1f127d520f8cd15f47ab57/Richard%20Ingersoll%20-%20World%20Architecture%20A%20Cross-Cultural%20History.pdf,
ARCH 219,World Architecture: A Cross-Cultural History,Ingersoll & Kostof,2nd edition,https://yadi.sk/i/r4BbzFHt-AsNjw,
ARCH 341/307/342,The Architect's Studio Companion,Edward Allen & Joseph Iano,6th,https://drive.google.com/open?id=1KV0QCuH1RlsOKBgbBCh9DbwqjEeDZth4,
